shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_R01_8b543360,33.732382,130.759647,0,0.00
shape_R01_8b543360,33.732614,130.759432,1,32.57
shape_R01_8b543360,33.732776,130.759442,2,50.61
shape_R01_8b543360,33.733813,130.759314,3,166.52
shape_R01_8b543360,33.734116,130.759274,4,200.42
shape_R01_8b543360,33.734331,130.759230,5,224.67
shape_R01_8b543360,33.734631,130.759150,6,258.84
shape_R01_8b543360,33.734799,130.759521,7,297.90
shape_R01_8b543360,33.735010,130.759987,8,346.96
shape_R01_8b543360,33.735049,130.760084,9,356.93
shape_R01_8b543360,33.735068,130.760168,10,364.98
shape_R01_8b543360,33.735108,130.760403,11,387.16
shape_R01_8b543360,33.735170,130.760723,12,417.54
shape_R01_8b543360,33.735230,130.760953,13,439.83
shape_R01_8b543360,33.735349,130.761325,14,476.69
shape_R01_8b543360,33.735377,130.761518,15,494.80
shape_R01_8b543360,33.735386,130.761745,16,515.82
shape_R01_8b543360,33.735405,130.762092,17,547.98
shape_R01_8b543360,33.735434,130.762362,18,573.15
shape_R01_8b543360,33.735464,130.762496,19,585.98
shape_R01_8b543360,33.735079,130.762363,20,630.52
shape_R01_8b543360,33.735012,130.762340,21,638.27
shape_R01_8b543360,33.734802,130.762217,22,664.25
shape_R01_8b543360,33.734477,130.762006,23,705.32
shape_R01_8b543360,33.734251,130.761869,24,733.46
shape_R01_8b543360,33.734139,130.761849,25,746.05
shape_R01_8b543360,33.733577,130.761822,26,808.59
shape_R01_8b543360,33.733185,130.762012,27,855.59
shape_R01_8b543360,33.732855,130.762043,28,892.39
shape_R01_8b543360,33.732372,130.762155,29,947.09
shape_R01_8b543360,33.732085,130.762216,30,979.50
shape_R01_8b543360,33.731913,130.762205,31,998.65
shape_R01_8b543360,33.731267,130.762074,32,1071.50
shape_R01_8b543360,33.730787,130.761973,33,1125.68
shape_R01_8b543360,33.730560,130.761929,34,1151.25
shape_R01_8b543360,33.730415,130.761852,35,1168.87
shape_R01_8b543360,33.730347,130.761797,36,1177.99
shape_R01_8b543360,33.730270,130.761667,37,1192.75
shape_R01_8b543360,33.730203,130.761502,38,1209.73
shape_R01_8b543360,33.730143,130.761375,39,1223.23
shape_R01_8b543360,33.730047,130.761256,40,1238.56
shape_R01_8b543360,33.729778,130.761049,41,1274.08
shape_R01_8b543360,33.729759,130.761033,42,1276.66
shape_R01_8b543360,33.729521,130.760837,43,1308.73
shape_R01_8b543360,33.729462,130.760803,44,1316.01
shape_R01_8b543360,33.729376,130.760765,45,1326.20
shape_R01_8b543360,33.729090,130.760674,46,1359.09
shape_R01_8b543360,33.728276,130.760408,47,1452.89
shape_R01_8b543360,33.726807,130.759866,48,1623.75
shape_R01_8b543360,33.726378,130.759710,49,1673.59
shape_R01_8b543360,33.726055,130.759618,50,1710.50
shape_R01_8b543360,33.725913,130.759585,51,1726.58
shape_R01_8b543360,33.725711,130.759587,52,1749.04
shape_R01_8b543360,33.725590,130.759587,53,1762.50
shape_R01_8b543360,33.725478,130.759556,54,1775.28
shape_R01_8b543360,33.725390,130.759491,55,1786.76
shape_R01_8b543360,33.725348,130.759433,56,1793.87
shape_R01_8b543360,33.725285,130.759325,57,1806.07
shape_R01_8b543360,33.725248,130.759178,58,1820.27
shape_R01_8b543360,33.725241,130.759151,59,1822.89
shape_R01_8b543360,33.725221,130.758921,60,1844.28
shape_R01_8b543360,33.725201,130.758803,61,1855.41
shape_R01_8b543360,33.725042,130.758483,62,1889.89
shape_R01_8b543360,33.724943,130.758292,63,1910.70
shape_R01_8b543360,33.724843,130.758166,64,1926.81
shape_R01_8b543360,33.724587,130.757906,65,1964.07
shape_R01_8b543360,33.724384,130.757622,66,1998.70
shape_R01_8b543360,33.724067,130.757153,67,2054.59
shape_R01_8b543360,33.723871,130.756887,68,2087.46
shape_R01_8b543360,33.723816,130.756825,69,2095.84
shape_R01_8b543360,33.723580,130.756524,70,2134.10
shape_R01_8b543360,33.723473,130.756385,71,2151.62
shape_R01_8b543360,33.723336,130.756238,72,2172.03
shape_R01_8b543360,33.723229,130.756144,73,2186.77
shape_R01_8b543360,33.723061,130.756036,74,2207.95
shape_R01_8b543360,33.722635,130.755761,75,2261.72
shape_R01_8b543360,33.722458,130.755594,76,2286.74
shape_R01_8b543360,33.722301,130.755405,77,2311.44
shape_R01_8b543360,33.722085,130.755141,78,2345.69
shape_R01_8b543360,33.722076,130.755129,79,2347.18
shape_R01_8b543360,33.721999,130.755009,80,2361.20
shape_R01_8b543360,33.721977,130.754901,81,2371.48
shape_R01_8b543360,33.721974,130.754734,82,2386.93
shape_R01_8b543360,33.722043,130.754220,83,2435.09
shape_R01_8b543360,33.722153,130.753408,84,2511.17
