trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R01_0_1,09:00:00,09:00:00,S021,1,0,0
R01_0_1,09:01:00,09:01:00,S020,2,0,0
R01_0_1,09:02:00,09:02:00,S019,3,0,0
R01_0_1,09:04:00,09:04:00,S018,4,0,0
R01_0_1,09:05:00,09:05:00,S017,5,0,0
R01_0_1,09:07:00,09:07:00,S016,6,0,0
R01_0_1,09:08:00,09:08:00,S015,7,0,0
R01_0_1,09:09:00,09:09:00,S014,8,0,0
R01_0_1,09:11:00,09:11:00,S013,9,0,0
R01_0_1,09:12:00,09:12:00,S012,10,0,0
R01_0_1,09:17:00,09:17:00,S011,11,0,0
R01_0_1,09:22:00,09:22:00,S010,12,0,0
R01_0_1,09:23:00,09:23:00,S009,13,0,0
R01_0_1,09:24:00,09:24:00,S008,14,0,0
R01_0_1,09:26:00,09:26:00,S007,15,0,0
R01_0_1,09:27:00,09:27:00,S006,16,0,0
R01_0_1,09:28:00,09:28:00,S005,17,0,0
R01_0_1,09:31:00,09:31:00,S004,18,0,0
R01_0_1,09:32:00,09:32:00,S003,19,0,0
R01_0_1,09:34:00,09:34:00,S002,20,0,0
R01_0_1,09:35:00,09:35:00,S001,21,0,0
R01_0_2,10:30:00,10:30:00,S021,1,0,0
R01_0_2,10:31:00,10:31:00,S020,2,0,0
R01_0_2,10:32:00,10:32:00,S019,3,0,0
R01_0_2,10:34:00,10:34:00,S018,4,0,0
R01_0_2,10:35:00,10:35:00,S017,5,0,0
R01_0_2,10:37:00,10:37:00,S016,6,0,0
R01_0_2,10:38:00,10:38:00,S015,7,0,0
R01_0_2,10:39:00,10:39:00,S014,8,0,0
R01_0_2,10:41:00,10:41:00,S013,9,0,0
R01_0_2,10:42:00,10:42:00,S012,10,0,0
R01_0_2,10:47:00,10:47:00,S011,11,0,0
R01_0_2,10:52:00,10:52:00,S010,12,0,0
R01_0_2,10:53:00,10:53:00,S009,13,0,0
R01_0_2,10:54:00,10:54:00,S008,14,0,0
R01_0_2,10:56:00,10:56:00,S007,15,0,0
R01_0_2,10:57:00,10:57:00,S006,16,0,0
R01_0_2,10:58:00,10:58:00,S005,17,0,0
R01_0_2,11:01:00,11:01:00,S004,18,0,0
R01_0_2,11:02:00,11:02:00,S003,19,0,0
R01_0_2,11:04:00,11:04:00,S002,20,0,0
R01_0_2,11:05:00,11:05:00,S001,21,0,0
R01_0_3,12:00:00,12:00:00,S021,1,0,0
R01_0_3,12:01:00,12:01:00,S020,2,0,0
R01_0_3,12:02:00,12:02:00,S019,3,0,0
R01_0_3,12:04:00,12:04:00,S018,4,0,0
R01_0_3,12:05:00,12:05:00,S017,5,0,0
R01_0_3,12:07:00,12:07:00,S016,6,0,0
R01_0_3,12:08:00,12:08:00,S015,7,0,0
R01_0_3,12:09:00,12:09:00,S014,8,0,0
R01_0_3,12:11:00,12:11:00,S013,9,0,0
R01_0_3,12:12:00,12:12:00,S012,10,0,0
R01_0_3,12:17:00,12:17:00,S011,11,0,0
R01_0_3,12:22:00,12:22:00,S010,12,0,0
R01_0_3,12:23:00,12:23:00,S009,13,0,0
R01_0_3,12:24:00,12:24:00,S008,14,0,0
R01_0_3,12:26:00,12:26:00,S007,15,0,0
R01_0_3,12:27:00,12:27:00,S006,16,0,0
R01_0_3,12:28:00,12:28:00,S005,17,0,0
R01_0_3,12:31:00,12:31:00,S004,18,0,0
R01_0_3,12:32:00,12:32:00,S003,19,0,0
R01_0_3,12:34:00,12:34:00,S002,20,0,0
R01_0_3,12:35:00,12:35:00,S001,21,0,0
R01_0_4,14:20:00,14:20:00,S021,1,0,0
R01_0_4,14:21:00,14:21:00,S020,2,0,0
R01_0_4,14:22:00,14:22:00,S019,3,0,0
R01_0_4,14:24:00,14:24:00,S018,4,0,0
R01_0_4,14:25:00,14:25:00,S017,5,0,0
R01_0_4,14:27:00,14:27:00,S016,6,0,0
R01_0_4,14:28:00,14:28:00,S015,7,0,0
R01_0_4,14:29:00,14:29:00,S014,8,0,0
R01_0_4,14:31:00,14:31:00,S013,9,0,0
R01_0_4,14:32:00,14:32:00,S012,10,0,0
R01_0_4,14:37:00,14:37:00,S011,11,0,0
R01_0_4,14:42:00,14:42:00,S010,12,0,0
R01_0_4,14:43:00,14:43:00,S009,13,0,0
R01_0_4,14:44:00,14:44:00,S008,14,0,0
R01_0_4,14:46:00,14:46:00,S007,15,0,0
R01_0_4,14:47:00,14:47:00,S006,16,0,0
R01_0_4,14:48:00,14:48:00,S005,17,0,0
R01_0_4,14:51:00,14:51:00,S004,18,0,0
R01_0_4,14:52:00,14:52:00,S003,19,0,0
R01_0_4,14:54:00,14:54:00,S002,20,0,0
R01_0_4,14:55:00,14:55:00,S001,21,0,0
R01_0_5,15:50:00,15:50:00,S021,1,0,0
R01_0_5,15:51:00,15:51:00,S020,2,0,0
R01_0_5,15:52:00,15:52:00,S019,3,0,0
R01_0_5,15:54:00,15:54:00,S018,4,0,0
R01_0_5,15:55:00,15:55:00,S017,5,0,0
R01_0_5,15:57:00,15:57:00,S016,6,0,0
R01_0_5,15:58:00,15:58:00,S015,7,0,0
R01_0_5,15:59:00,15:59:00,S014,8,0,0
R01_0_5,16:01:00,16:01:00,S013,9,0,0
R01_0_5,16:02:00,16:02:00,S012,10,0,0
R01_0_5,16:07:00,16:07:00,S011,11,0,0
R01_0_5,16:12:00,16:12:00,S010,12,0,0
R01_0_5,16:13:00,16:13:00,S009,13,0,0
R01_0_5,16:14:00,16:14:00,S008,14,0,0
R01_0_5,16:16:00,16:16:00,S007,15,0,0
R01_0_5,16:17:00,16:17:00,S006,16,0,0
R01_0_5,16:18:00,16:18:00,S005,17,0,0
R01_0_5,16:21:00,16:21:00,S004,18,0,0
R01_0_5,16:22:00,16:22:00,S003,19,0,0
R01_0_5,16:24:00,16:24:00,S002,20,0,0
R01_0_5,16:25:00,16:25:00,S001,21,0,0
R01_1_1,09:45:00,09:45:00,S001,1,0,0
R01_1_1,09:46:00,09:46:00,S002,2,0,0
R01_1_1,09:48:00,09:48:00,S003,3,0,0
R01_1_1,09:49:00,09:49:00,S004,4,0,0
R01_1_1,09:52:00,09:52:00,S005,5,0,0
R01_1_1,09:53:00,09:53:00,S006,6,0,0
R01_1_1,09:54:00,09:54:00,S007,7,0,0
R01_1_1,09:56:00,09:56:00,S008,8,0,0
R01_1_1,09:57:00,09:57:00,S009,9,0,0
R01_1_1,09:58:00,09:58:00,S010,10,0,0
R01_1_1,10:03:00,10:03:00,S011,11,0,0
R01_1_1,10:08:00,10:08:00,S012,12,0,0
R01_1_1,10:09:00,10:09:00,S013,13,0,0
R01_1_1,10:11:00,10:11:00,S014,14,0,0
R01_1_1,10:12:00,10:12:00,S015,15,0,0
R01_1_1,10:13:00,10:13:00,S016,16,0,0
R01_1_1,10:15:00,10:15:00,S017,17,0,0
R01_1_1,10:16:00,10:16:00,S018,18,0,0
R01_1_1,10:18:00,10:18:00,S019,19,0,0
R01_1_1,10:19:00,10:19:00,S020,20,0,0
R01_1_1,10:20:00,10:20:00,S021,21,0,0
R01_1_2,11:15:00,11:15:00,S001,1,0,0
R01_1_2,11:16:00,11:16:00,S002,2,0,0
R01_1_2,11:18:00,11:18:00,S003,3,0,0
R01_1_2,11:19:00,11:19:00,S004,4,0,0
R01_1_2,11:22:00,11:22:00,S005,5,0,0
R01_1_2,11:23:00,11:23:00,S006,6,0,0
R01_1_2,11:24:00,11:24:00,S007,7,0,0
R01_1_2,11:26:00,11:26:00,S008,8,0,0
R01_1_2,11:27:00,11:27:00,S009,9,0,0
R01_1_2,11:28:00,11:28:00,S010,10,0,0
R01_1_2,11:33:00,11:33:00,S011,11,0,0
R01_1_2,11:38:00,11:38:00,S012,12,0,0
R01_1_2,11:39:00,11:39:00,S013,13,0,0
R01_1_2,11:41:00,11:41:00,S014,14,0,0
R01_1_2,11:42:00,11:42:00,S015,15,0,0
R01_1_2,11:43:00,11:43:00,S016,16,0,0
R01_1_2,11:45:00,11:45:00,S017,17,0,0
R01_1_2,11:46:00,11:46:00,S018,18,0,0
R01_1_2,11:48:00,11:48:00,S019,19,0,0
R01_1_2,11:49:00,11:49:00,S020,20,0,0
R01_1_2,11:50:00,11:50:00,S021,21,0,0
R01_1_3,13:35:00,13:35:00,S001,1,0,0
R01_1_3,13:36:00,13:36:00,S002,2,0,0
R01_1_3,13:38:00,13:38:00,S003,3,0,0
R01_1_3,13:39:00,13:39:00,S004,4,0,0
R01_1_3,13:42:00,13:42:00,S005,5,0,0
R01_1_3,13:43:00,13:43:00,S006,6,0,0
R01_1_3,13:44:00,13:44:00,S007,7,0,0
R01_1_3,13:46:00,13:46:00,S008,8,0,0
R01_1_3,13:47:00,13:47:00,S009,9,0,0
R01_1_3,13:48:00,13:48:00,S010,10,0,0
R01_1_3,13:53:00,13:53:00,S011,11,0,0
R01_1_3,13:58:00,13:58:00,S012,12,0,0
R01_1_3,13:59:00,13:59:00,S013,13,0,0
R01_1_3,14:01:00,14:01:00,S014,14,0,0
R01_1_3,14:02:00,14:02:00,S015,15,0,0
R01_1_3,14:03:00,14:03:00,S016,16,0,0
R01_1_3,14:05:00,14:05:00,S017,17,0,0
R01_1_3,14:06:00,14:06:00,S018,18,0,0
R01_1_3,14:08:00,14:08:00,S019,19,0,0
R01_1_3,14:09:00,14:09:00,S020,20,0,0
R01_1_3,14:10:00,14:10:00,S021,21,0,0
R01_1_4,15:05:00,15:05:00,S001,1,0,0
R01_1_4,15:06:00,15:06:00,S002,2,0,0
R01_1_4,15:08:00,15:08:00,S003,3,0,0
R01_1_4,15:09:00,15:09:00,S004,4,0,0
R01_1_4,15:12:00,15:12:00,S005,5,0,0
R01_1_4,15:13:00,15:13:00,S006,6,0,0
R01_1_4,15:14:00,15:14:00,S007,7,0,0
R01_1_4,15:16:00,15:16:00,S008,8,0,0
R01_1_4,15:17:00,15:17:00,S009,9,0,0
R01_1_4,15:18:00,15:18:00,S010,10,0,0
R01_1_4,15:23:00,15:23:00,S011,11,0,0
R01_1_4,15:28:00,15:28:00,S012,12,0,0
R01_1_4,15:29:00,15:29:00,S013,13,0,0
R01_1_4,15:31:00,15:31:00,S014,14,0,0
R01_1_4,15:32:00,15:32:00,S015,15,0,0
R01_1_4,15:33:00,15:33:00,S016,16,0,0
R01_1_4,15:35:00,15:35:00,S017,17,0,0
R01_1_4,15:36:00,15:36:00,S018,18,0,0
R01_1_4,15:38:00,15:38:00,S019,19,0,0
R01_1_4,15:39:00,15:39:00,S020,20,0,0
R01_1_4,15:40:00,15:40:00,S021,21,0,0
