stop_id,stop_name,stop_lat,stop_lon
S001,直方駅,33.748588,130.724752
S002,津田町,33.747660,130.728730
S003,市役所前,33.744035,130.729601
S004,勘六橋,33.740985,130.728799
S005,溝堀一丁目,33.736076,130.729382
S006,溝堀二丁目,33.733615,130.730503
S007,溝堀三丁目,33.731995,130.732069
S008,境橋,33.731745,130.737060
S009,下境農協前,33.732236,130.739765
S010,光福寺前,33.731236,130.742321
S011,もちだんご村モール,33.739391,130.746764
S012,須賀之橋,33.730199,130.744491
S013,宮浦,33.727385,130.746421
S014,尾辻,33.724827,130.749122
S015,筑前上境,33.722934,130.751406
S016,上境東,33.722080,130.755147
S017,筑前泉,33.725238,130.759182
S018,福地校前,33.729762,130.761028
S019,永満寺,33.735089,130.762320
S020,原の口,33.734793,130.759525
S021,永満寺団地,33.732377,130.759639
