table_name,field_name,language,translation,field_value
stops,stop_name,ja-Hrkt,のおがたえき,直方駅
stops,stop_name,ja-Hrkt,つだまち,津田町
stops,stop_name,ja-Hrkt,しやくしょまえ,市役所前
stops,stop_name,ja-Hrkt,かんろくはし,勘六橋
stops,stop_name,ja-Hrkt,みぞほりいっちょうめ,溝堀一丁目
stops,stop_name,ja-Hrkt,みぞほりにちょうめ,溝堀二丁目
stops,stop_name,ja-Hrkt,みぞほりさんちょうめ,溝堀三丁目
stops,stop_name,ja-Hrkt,さかいはし,境橋
stops,stop_name,ja-Hrkt,したさかいのうきょうまえ,下境農協前
stops,stop_name,ja-Hrkt,ひかりふくてらまえ,光福寺前
stops,stop_name,ja-Hrkt,もちだんごむらもーる,もちだんご村モール
stops,stop_name,ja-Hrkt,すがゆきはし,須賀之橋
stops,stop_name,ja-Hrkt,みやうら,宮浦
stops,stop_name,ja-Hrkt,おつじ,尾辻
stops,stop_name,ja-Hrkt,ちくぜんうえさかい,筑前上境
stops,stop_name,ja-Hrkt,うえさかいひがし,上境東
stops,stop_name,ja-Hrkt,ちくぜんいずみ,筑前泉
stops,stop_name,ja-Hrkt,ふくちこうまえ,福地校前
stops,stop_name,ja-Hrkt,えいまんてら,永満寺
stops,stop_name,ja-Hrkt,はらのくち,原の口
stops,stop_name,ja-Hrkt,えいまんてらだんち,永満寺団地
routes,route_long_name,ja-Hrkt,えいまんてらせん,永満寺線
